Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ
131.8764,-23.40837,4.935582,18.06619,0,0,0
131.8858,-23.40462,4.935412,18.07238,0,0,0
131.8966,-23.40462,4.935412,18.07238,0,0,0
131.9049,-23.40381,4.937038,18.07363,0,0,0
131.9157,-23.40381,4.937038,18.07363,0,0,0
131.9247,-23.40617,4.936328,18.0757,0,0,0
131.9347,-23.40617,4.936328,18.0757,0,0,0
131.9428,-23.4048,4.936736,18.07669,0,0,0
131.953,-23.4048,4.936736,18.07669,0,0,0
131.9611,-23.40436,4.937106,18.07511,0,0,0
131.9716,-23.40436,4.937106,18.07511,0,0,0
131.9822,-23.40454,4.936883,18.07623,0,0,0
131.992,-23.40454,4.936883,18.07623,0,0,0
131.9998,-23.40454,4.936883,18.07623,0,0,0
132.0079,-23.40309,4.93731,18.07663,0,0,0
132.0175,-23.40309,4.93731,18.07663,0,0,0
132.0256,-23.40163,4.937701,18.07701,0,0,0
132.0351,-23.40163,4.937701,18.07701,0,0,0
132.0431,-23.40164,4.937667,18.07697,0,0,0
132.0538,-23.40164,4.937667,18.07697,0,0,0
132.0625,-23.40165,4.93766,18.07696,0,0,0
132.0733,-23.40165,4.93766,18.07696,0,0,0
132.0817,-23.40166,4.937658,18.07695,0,0,0
132.0922,-23.40166,4.937658,18.07695,0,0,0
132.1004,-23.4018,4.937597,18.07695,0,0,0
132.1104,-23.4018,4.937597,18.07695,0,0,0
132.1185,-23.4018,4.937597,18.07695,0,0,0
132.1269,-23.40194,4.937577,18.07682,0,0,0
132.1367,-23.40194,4.937577,18.07682,0,0,0
132.1447,-23.40039,4.938195,18.07558,0,0,0
132.1543,-23.40039,4.938195,18.07558,0,0,0
132.1624,-23.40024,4.938418,18.07376,0,0,0
132.1719,-23.40024,4.938418,18.07376,0,0,0
132.1798,-23.40024,4.938418,18.07376,0,0,0
132.1877,-23.40148,4.938276,18.07156,0,0,0
132.1971,-23.40148,4.938276,18.07156,0,0,0
132.2051,-23.4001,4.938662,18.07195,0,0,0
